degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.249999940395355225e-01,2.397660762071609497e-01,8.629549294710159302e-02,4.506822526454925537e-01,3.868413567543029785e-01,5.211230833083391190e-03,2.503382861614227295e-01,5.610746145248413086e-01
1.568627506494522095e-01,3.099415302276611328e-01,8.787275105714797974e-02,4.593567252159118652e-01,3.828839063644409180e-01,1.068068109452724457e-02,1.854545474052429199e-01,5.740755796432495117e-01
2.045454531908035278e-01,3.040935695171356201e-01,1.094294562935829163e-01,4.779727160930633545e-01,4.046151340007781982e-01,1.694884151220321655e-02,2.030228823423385620e-01,5.438835024833679199e-01
2.168141603469848633e-01,7.017543911933898926e-01,7.561510801315307617e-02,4.601364433765411377e-01,3.929333388805389404e-01,2.952673472464084625e-02,1.654577106237411499e-01,7.946451902389526367e-01
1.875000000000000000e-01,6.666666865348815918e-01,2.948987297713756561e-02,3.799220323562622070e-01,3.283061385154724121e-01,5.038251169025897980e-03,1.925060451030731201e-01,9.263795614242553711e-01
1.941176503896713257e-01,5.906432867050170898e-01,7.201094925403594971e-02,4.409356713294982910e-01,3.752070367336273193e-01,1.560620684176683426e-02,1.870094984769821167e-01,7.849428057670593262e-01
1.818181872367858887e-01,2.690058350563049316e-01,7.707957923412322998e-02,4.539960920810699463e-01,3.838656544685363770e-01,5.977403372526168823e-03,2.412790656089782715e-01,5.759973526000976562e-01
2.784810066223144531e-01,3.684210479259490967e-01,7.877063006162643433e-02,4.572124779224395752e-01,3.908814787864685059e-01,1.743425428867340088e-02,2.035420984029769897e-01,6.761082410812377930e-01
1.779661029577255249e-01,6.549707651138305664e-01,5.864555388689041138e-02,4.245614111423492432e-01,3.607411980628967285e-01,2.246328629553318024e-02,2.145366370677947998e-01,9.354591965675354004e-01
2.253521084785461426e-01,5.438596606254577637e-01,7.111974060535430908e-02,4.467836320400238037e-01,3.799685239791870117e-01,1.747857034206390381e-02,1.891825795173645020e-01,7.709102034568786621e-01
1.662763506174087524e-01,7.836257219314575195e-01,6.012672930955886841e-02,4.379142224788665771e-01,3.714828789234161377e-01,3.520756959915161133e-02,1.837042123079299927e-01,9.552731513977050781e-01
1.449275314807891846e-01,3.040935695171356201e-01,3.211141005158424377e-02,3.935672640800476074e-01,3.379404246807098389e-01,2.454852452501654625e-03,2.129909396171569824e-01,7.425224781036376953e-01
