degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.167630046606063843e-01,8.242424130439758301e-01,9.734002500772476196e-02,4.879364967346191406e-01,4.029909372329711914e-01,4.409448802471160889e-02,2.022724747657775879e-01,7.778325080871582031e-01
1.065088734030723572e-01,5.818181633949279785e-01,7.156951725482940674e-02,4.569769203662872314e-01,3.765813410282135010e-01,2.083849348127841949e-02,2.263761460781097412e-01,7.428185343742370605e-01
1.540983617305755615e-01,5.575757622718811035e-01,3.120655380189418793e-02,3.855627775192260742e-01,3.252652287483215332e-01,5.050662904977798462e-03,2.632040083408355713e-01,1.000000000000000000e+00
2.727272808551788330e-01,2.181818187236785889e-01,8.929791301488876343e-02,4.919769167900085449e-01,4.193284213542938232e-01,8.964189328253269196e-03,2.254025042057037354e-01,4.183955490589141846e-01
1.586206853389739990e-01,6.242424249649047852e-01,9.085911512374877930e-02,4.716233909130096436e-01,3.738590776920318604e-01,1.222748402506113052e-02,2.246276140213012695e-01,6.989801526069641113e-01
1.250000000000000000e-01,1.818181872367858887e-01,9.715741127729415894e-02,4.994516670703887939e-01,4.181981682777404785e-01,1.948938355781137943e-03,3.183908164501190186e-01,3.281196057796478271e-01
1.758241802453994751e-01,5.818181633949279785e-01,5.060677602887153625e-02,4.144516587257385254e-01,3.424978256225585938e-01,4.213575273752212524e-03,2.710677385330200195e-01,8.519697785377502441e-01
1.626297533512115479e-01,6.727272868156433105e-01,8.026496320962905884e-02,4.681385159492492676e-01,3.849913477897644043e-01,2.545536682009696960e-02,2.683717012405395508e-01,8.753341436386108398e-01
2.171052694320678711e-01,4.909090995788574219e-01,4.432390630245208740e-02,4.041486382484436035e-01,3.287108242511749268e-01,3.929650876671075821e-03,2.366057634353637695e-01,7.703023552894592285e-01
2.137404531240463257e-01,6.484848260879516602e-01,4.994751513004302979e-02,4.186940789222717285e-01,3.447811305522918701e-01,1.252142712473869324e-02,2.608376145362854004e-01,9.311611652374267578e-01
1.866666674613952637e-01,3.878787755966186523e-01,6.579282134771347046e-02,4.433405399322509766e-01,3.625035285949707031e-01,2.553606638684868813e-03,2.748010754585266113e-01,6.536643505096435547e-01
