degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
3.000000119209289551e-01,1.687500029802322388e-01,7.359009981155395508e-02,4.551041722297668457e-01,3.838025629520416260e-01,2.291760407388210297e-03,2.542857229709625244e-01,3.128648996353149414e-01
1.929824501276016235e-01,3.812499940395355225e-01,8.217324316501617432e-02,4.780208468437194824e-01,4.006465375423431396e-01,2.492820657789707184e-02,2.384868413209915161e-01,5.695601105690002441e-01
2.176591306924819946e-01,8.312500119209289551e-01,4.140590503811836243e-02,3.932291567325592041e-01,3.277083337306976318e-01,8.303681388497352600e-03,2.101423740386962891e-01,9.015920162200927734e-01
2.514619827270507812e-01,6.000000238418579102e-01,1.112512275576591492e-01,5.088541507720947266e-01,4.218028187751770020e-01,4.035279899835586548e-02,2.177252918481826782e-01,6.381682753562927246e-01
1.333333402872085571e-01,3.187499940395355225e-01,3.535158559679985046e-02,3.933333456516265869e-01,3.381117582321166992e-01,6.952697876840829849e-03,2.299829572439193726e-01,7.795718908309936523e-01
2.127659618854522705e-01,3.312500119209289551e-01,6.629657000303268433e-02,4.483333230018615723e-01,3.759007453918457031e-01,4.503994714468717575e-03,2.709395587444305420e-01,5.905515551567077637e-01
2.067988663911819458e-01,6.812499761581420898e-01,3.821123391389846802e-02,3.916666805744171143e-01,3.293975591659545898e-01,7.332490291446447372e-03,2.484093308448791504e-01,9.149856567382812500e-01
1.848341226577758789e-01,6.125000119209289551e-01,3.930186107754707336e-02,3.982291519641876221e-01,3.381117582321166992e-01,7.745368871837854385e-03,2.396131008863449097e-01,8.866197466850280762e-01
2.156862765550613403e-01,3.499999940395355225e-01,9.920759499073028564e-02,4.934374988079071045e-01,4.218028187751770020e-01,1.862451806664466858e-02,3.023826181888580322e-01,5.282424092292785645e-01
1.648351699113845825e-01,3.750000000000000000e-01,2.731380797922611237e-02,3.760416805744171143e-01,3.243813514709472656e-01,2.264913870021700859e-03,2.524079382419586182e-01,8.265891671180725098e-01
2.202072590589523315e-01,6.437500119209289551e-01,4.295297339558601379e-02,4.071874916553497314e-01,3.472996056079864502e-01,1.567496918141841888e-02,2.606752812862396240e-01,9.975864291191101074e-01
2.272727340459823608e-01,4.312500059604644775e-01,7.876048237085342407e-02,4.605208337306976318e-01,3.932499885559082031e-01,1.412328612059354782e-02,2.560199797153472900e-01,6.612201929092407227e-01
1.875000000000000000e-01,5.562499761581420898e-01,5.501541495323181152e-02,4.260416626930236816e-01,3.560062646865844727e-01,1.564856059849262238e-02,2.577789723873138428e-01,8.244358897209167480e-01
1.749999970197677612e-01,2.312500029802322388e-01,2.363559231162071228e-02,3.655208349227905273e-01,3.124847114086151123e-01,3.398458473384380341e-03,2.662141919136047363e-01,7.423651218414306641e-01
1.953125000000000000e-01,5.500000119209289551e-01,6.097965314984321594e-02,4.426041543483734131e-01,3.726129829883575439e-01,9.147507138550281525e-03,2.095890343189239502e-01,6.750949621200561523e-01
2.037735879421234131e-01,6.125000119209289551e-01,2.583062089979648590e-02,3.663541674613952637e-01,3.147937059402465820e-01,5.657996051013469696e-03,2.390683293342590332e-01,9.154388308525085449e-01
2.465753406286239624e-01,6.937500238418579102e-01,6.696861982345581055e-02,4.487499892711639404e-01,3.704529106616973877e-01,1.399205625057220459e-02,2.258174419403076172e-01,7.557725906372070312e-01
2.162162214517593384e-01,2.374999970197677612e-01,4.024701565504074097e-02,3.938541710376739502e-01,3.336977660655975342e-01,2.436747308820486069e-03,2.834757864475250244e-01,6.207460761070251465e-01
2.016806751489639282e-01,6.937500238418579102e-01,6.907778978347778320e-02,4.545833468437194824e-01,3.872916698455810547e-01,2.177832089364528656e-02,2.122786045074462891e-01,7.731831073760986328e-01
1.489361673593521118e-01,5.500000119209289551e-01,7.640221714973449707e-02,4.594791531562805176e-01,3.861216008663177490e-01,2.563804760575294495e-02,2.383369952440261841e-01,7.042876482009887695e-01
1.963190138339996338e-01,5.812500119209289551e-01,9.666365385055541992e-02,4.863541722297668457e-01,4.096354246139526367e-01,2.549783885478973389e-02,2.218275368213653564e-01,6.666006445884704590e-01
1.965317875146865845e-01,6.312500238418579102e-01,5.811497941613197327e-02,4.232291579246520996e-01,3.520833253860473633e-01,9.272640570998191833e-03,2.346495687961578369e-01,7.883628606796264648e-01
1.904761940240859985e-01,3.937500119209289551e-01,7.175980508327484131e-02,4.490624964237213135e-01,3.759007453918457031e-01,1.331794541329145432e-02,2.223135977983474731e-01,6.172081232070922852e-01
2.539682686328887939e-01,2.750000059604644775e-01,6.674055010080337524e-02,4.506250023841857910e-01,3.803757429122924805e-01,6.496091838926076889e-03,2.518557906150817871e-01,5.662482976913452148e-01
3.076923191547393799e-01,2.374999970197677612e-01,7.933118939399719238e-02,4.684374928474426270e-01,4.044501483440399170e-01,7.331632543355226517e-03,2.656695246696472168e-01,4.805481135845184326e-01
1.756756752729415894e-01,4.749999940395355225e-01,2.162881009280681610e-02,3.622916638851165771e-01,3.132506012916564941e-01,2.764046657830476761e-03,2.204282134771347046e-01,8.118857741355895996e-01
2.115384638309478760e-01,3.312500119209289551e-01,6.360955536365509033e-02,4.342708289623260498e-01,3.620573580265045166e-01,5.154947284609079361e-03,2.464622706174850464e-01,6.260496973991394043e-01
2.333333343267440796e-01,3.000000119209289551e-01,9.766279160976409912e-02,4.785416722297668457e-01,3.944637477397918701e-01,8.444293402135372162e-03,3.378640711307525635e-01,5.086039900779724121e-01
2.075471729040145874e-01,2.874999940395355225e-01,4.704427719116210938e-02,4.225000143051147461e-01,3.600175976753234863e-01,6.846702191978693008e-03,2.420135587453842163e-01,6.325474381446838379e-01
1.714285761117935181e-01,1.875000000000000000e-01,6.924357265233993530e-02,4.627083241939544678e-01,4.096354246139526367e-01,1.996270939707756042e-02,1.781914830207824707e-01,3.424111306667327881e-01
3.448275923728942871e-01,2.249999940395355225e-01,8.568149060010910034e-02,4.650000035762786865e-01,4.044501483440399170e-01,2.657318254932761192e-03,2.933810353279113770e-01,4.348140954971313477e-01
2.420382201671600342e-01,5.375000238418579102e-01,5.581396818161010742e-02,4.193750023841857910e-01,3.560062646865844727e-01,1.115827076137065887e-02,2.701613008975982666e-01,8.269729018211364746e-01
2.857142984867095947e-01,1.250000000000000000e-01,6.090220063924789429e-02,4.420833289623260498e-01,3.849585950374603271e-01,5.157075356692075729e-04,2.745098173618316650e-01,2.689904272556304932e-01
2.074074000120162964e-01,5.562499761581420898e-01,1.525143813341856003e-02,3.458333313465118408e-01,3.064897954463958740e-01,1.892373198643326759e-03,2.507362663745880127e-01,1.000000000000000000e+00
2.798354029655456543e-01,7.250000238418579102e-01,7.519429177045822144e-02,4.561458230018615723e-01,3.861216008663177490e-01,1.429214794188737869e-02,2.088715881109237671e-01,7.316476702690124512e-01
2.337662279605865479e-01,3.625000119209289551e-01,5.838761106133460999e-02,4.403125047683715820e-01,3.726129829883575439e-01,1.585579663515090942e-02,2.048484832048416138e-01,6.417246460914611816e-01
2.276422828435897827e-01,4.937500059604644775e-01,6.549580395221710205e-02,4.443750083446502686e-01,3.770096004009246826e-01,2.001249045133590698e-02,2.263536602258682251e-01,6.758373975753784180e-01
1.666666716337203979e-01,3.562499880790710449e-01,4.076689854264259338e-02,4.102083444595336914e-01,3.454222977161407471e-01,4.631010349839925766e-03,2.523570060729980469e-01,7.170105576515197754e-01
2.061855643987655640e-01,4.437499940395355225e-01,7.256775349378585815e-02,4.540624916553497314e-01,3.815111815929412842e-01,8.520903997123241425e-03,2.487179487943649292e-01,6.436267495155334473e-01
2.195121943950653076e-01,2.500000000000000000e-01,5.015065148472785950e-02,4.180208444595336914e-01,3.530559539794921875e-01,3.875620197504758835e-03,2.532097101211547852e-01,5.809670686721801758e-01
2.275862097740173340e-01,4.625000059604644775e-01,3.957016021013259888e-02,4.089583456516265869e-01,3.540339469909667969e-01,1.515148114413022995e-02,2.398039251565933228e-01,8.500087261199951172e-01
1.739130467176437378e-01,3.312500119209289551e-01,8.041602373123168945e-02,4.629166722297668457e-01,3.826534450054168701e-01,5.796579644083976746e-03,2.238806039094924927e-01,4.851122200489044189e-01
2.222222238779067993e-01,2.687500119209289551e-01,6.507917493581771851e-02,4.470833241939544678e-01,3.826534450054168701e-01,2.971375826746225357e-03,2.848410904407501221e-01,6.187428832054138184e-01
2.000000029802322388e-01,1.437499970197677612e-01,3.294674307107925415e-02,3.864583373069763184e-01,3.285507857799530029e-01,1.135438214987516403e-03,4.047619104385375977e-01,5.413092970848083496e-01
2.462686598300933838e-01,6.625000238418579102e-01,1.264896243810653687e-01,5.270833373069763184e-01,4.407112002372741699e-01,7.299071550369262695e-02,1.925524026155471802e-01,5.801778435707092285e-01
1.904761940240859985e-01,1.812500059604644775e-01,4.363498836755752563e-02,4.112499952316284180e-01,3.520833253860473633e-01,1.532253460027277470e-03,2.450738847255706787e-01,5.164890289306640625e-01
