degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.098445594310760498e-01,7.612903118133544922e-01,7.681158930063247681e-02,4.196927845478057861e-01,3.438030481338500977e-01,1.845871470868587494e-02,2.381990402936935425e-01,9.577222466468811035e-01
2.800000011920928955e-01,1.935483813285827637e-01,7.497130334377288818e-02,4.200153648853302002e-01,3.438030481338500977e-01,2.162810182198882103e-03,3.839080333709716797e-01,5.395644903182983398e-01
2.348484843969345093e-01,5.419355034828186035e-01,6.371858716011047363e-02,4.001228809356689453e-01,3.359447121620178223e-01,5.045442841947078705e-03,2.344504892826080322e-01,7.742745280265808105e-01
2.266666740179061890e-01,3.935483992099761963e-01,8.407448232173919678e-02,4.373118281364440918e-01,3.651572763919830322e-01,1.409909036010503769e-02,2.539813220500946045e-01,7.415518164634704590e-01
1.881188154220581055e-01,4.967741966247558594e-01,9.883344173431396484e-02,4.512903094291687012e-01,3.768610358238220215e-01,2.691453322768211365e-02,2.140534669160842896e-01,6.856459975242614746e-01
2.048517465591430664e-01,7.032257914543151855e-01,4.184122383594512939e-02,3.653917014598846436e-01,3.110599219799041748e-01,1.108625810593366623e-02,2.156360447406768799e-01,1.000000000000000000e+00
2.135922312736511230e-01,6.774193644523620605e-01,1.010989174246788025e-01,4.458218216896057129e-01,3.662948310375213623e-01,3.027679212391376495e-02,2.197287976741790771e-01,7.712939977645874023e-01
1.980198025703430176e-01,4.580645263195037842e-01,8.371178060770034790e-02,4.224731326103210449e-01,3.520378470420837402e-01,1.746193692088127136e-02,2.331052124500274658e-01,7.720885276794433594e-01
1.979166716337203979e-01,4.516128897666931152e-01,5.804134532809257507e-02,3.990476131439208984e-01,3.340359330177307129e-01,5.531577393412590027e-03,2.539419233798980713e-01,7.927331924438476562e-01
2.222222238779067993e-01,5.935483574867248535e-01,1.318445801734924316e-01,4.824731051921844482e-01,3.999341726303100586e-01,4.455601796507835388e-02,2.190082669258117676e-01,7.631611227989196777e-01
2.258953154087066650e-01,7.806451320648193359e-01,6.997712701559066772e-02,4.128110706806182861e-01,3.408134579658508301e-01,2.075919508934020996e-02,2.227934896945953369e-01,9.000207185745239258e-01
2.006920427083969116e-01,6.838709712028503418e-01,3.941212967038154602e-02,3.672196567058563232e-01,3.118849992752075195e-01,5.378673318773508072e-03,2.195509821176528931e-01,9.618195295333862305e-01
1.675392687320709229e-01,6.064516305923461914e-01,4.424462839961051941e-02,3.715207278728485107e-01,3.110599219799041748e-01,7.159418892115354538e-03,2.283832281827926636e-01,9.137206673622131348e-01
1.750841736793518066e-01,6.129032373428344727e-01,5.059147998690605164e-02,3.828110694885253906e-01,3.248084187507629395e-01,6.886265706270933151e-03,2.637130916118621826e-01,9.874316453933715820e-01
1.666666716337203979e-01,3.870967626571655273e-01,8.859784156084060669e-02,4.329185783863067627e-01,3.552285432815551758e-01,1.301966048777103424e-02,2.791262269020080566e-01,6.924936771392822266e-01
1.969697028398513794e-01,3.419354856014251709e-01,6.997755169868469238e-02,4.179569780826568604e-01,3.541585803031921387e-01,6.560484878718852997e-03,3.002183437347412109e-01,7.491310238838195801e-01
1.813725531101226807e-01,6.129032373428344727e-01,5.121298134326934814e-02,3.820430040359497070e-01,3.195126354694366455e-01,5.731499288231134415e-03,2.660023570060729980e-01,8.963510990142822266e-01
2.057761698961257935e-01,7.870967984199523926e-01,5.156027525663375854e-02,3.847465515136718750e-01,3.212586045265197754e-01,1.329613104462623596e-02,1.971929818391799927e-01,8.993910551071166992e-01
1.690140813589096069e-01,5.935483574867248535e-01,1.034292578697204590e-01,4.475268721580505371e-01,3.685913681983947754e-01,2.657911181449890137e-02,1.908931732177734375e-01,7.155123949050903320e-01
2.560975551605224609e-01,3.677419424057006836e-01,9.896262735128402710e-02,4.410752654075622559e-01,3.674395084381103516e-01,1.455159019678831100e-02,1.985839456319808960e-01,6.335023641586303711e-01
1.428571492433547974e-01,1.870967745780944824e-01,8.299578726291656494e-02,4.398924708366394043e-01,3.617866039276123047e-01,8.736589923501014709e-03,3.296296298503875732e-01,4.431185126304626465e-01
2.957746386528015137e-01,3.612903356552124023e-01,7.780557125806808472e-02,4.304454624652862549e-01,3.552285432815551758e-01,2.745545096695423126e-02,2.224561423063278198e-01,6.485763192176818848e-01
2.287581712007522583e-01,5.870967507362365723e-01,5.943829566240310669e-02,3.958218097686767578e-01,3.340359330177307129e-01,5.365986377000808716e-03,2.497438490390777588e-01,8.882007002830505371e-01
1.666666716337203979e-01,3.677419424057006836e-01,1.411283910274505615e-01,4.791551530361175537e-01,3.842504620552062988e-01,2.531677298247814178e-02,2.770270407199859619e-01,5.163357257843017578e-01
2.358490526676177979e-01,5.225806236267089844e-01,1.056986525654792786e-01,4.527956843376159668e-01,3.709168732166290283e-01,2.498111687600612640e-02,2.434017658233642578e-01,7.420976758003234863e-01
2.000000029802322388e-01,4.774193465709686279e-01,9.768906980752944946e-02,4.463440775871276855e-01,3.674395084381103516e-01,3.970330581068992615e-02,2.310710102319717407e-01,7.043621540069580078e-01
2.340425550937652588e-01,3.096774220466613770e-01,9.238713979721069336e-02,4.469892382621765137e-01,3.768610358238220215e-01,1.713020727038383484e-02,2.190522253513336182e-01,5.937951207160949707e-01
1.651376187801361084e-01,5.032258033752441406e-01,7.806026190519332886e-02,4.183870851993560791e-01,3.458254337310791016e-01,1.870043389499187469e-02,2.311486899852752686e-01,7.486202716827392578e-01
2.551724016666412354e-01,5.161290168762207031e-01,5.374541133642196655e-02,3.866820335388183594e-01,3.275226950645446777e-01,7.693848107010126114e-03,2.592778205871582031e-01,8.893160223960876465e-01
2.241379320621490479e-01,3.354838788509368896e-01,5.106994882225990295e-02,3.858218193054199219e-01,3.248084187507629395e-01,7.632968481630086899e-03,2.094926387071609497e-01,7.333797812461853027e-01
2.571428716182708740e-01,2.580645084381103516e-01,6.359016895294189453e-02,4.065591394901275635e-01,3.408134579658508301e-01,7.899501360952854156e-03,2.664285600185394287e-01,6.510681509971618652e-01
3.684210479259490967e-01,1.612903177738189697e-01,6.140328571200370789e-02,3.998924791812896729e-01,3.359447121620178223e-01,2.350106835365295410e-03,3.904382586479187012e-01,5.232903957366943359e-01
1.272727251052856445e-01,4.387096762657165527e-01,1.357163637876510620e-01,4.827035367488861084e-01,3.855103254318237305e-01,2.543363347649574280e-02,2.439195513725280762e-01,5.973572134971618652e-01
2.500000000000000000e-01,2.387096732854843140e-01,8.446443080902099609e-02,4.356989264488220215e-01,3.629032373428344727e-01,5.155674181878566742e-03,3.808446526527404785e-01,6.004478335380554199e-01
2.316384166479110718e-01,6.967741847038269043e-01,1.371763497591018677e-01,4.873118400573730469e-01,4.012991189956665039e-01,7.879768311977386475e-02,1.941992491483688354e-01,6.955187916755676270e-01
1.724137961864471436e-01,5.290322303771972656e-01,1.237334758043289185e-01,4.663440883159637451e-01,3.817553520202636719e-01,2.587700635194778442e-02,2.706611454486846924e-01,7.276295423507690430e-01
2.888889014720916748e-01,2.258064448833465576e-01,5.014748126268386841e-02,3.907527029514312744e-01,3.359447121620178223e-01,1.079957559704780579e-02,2.519011497497558594e-01,6.769807934761047363e-01
3.142857253551483154e-01,3.741935491561889648e-01,1.158000603318214417e-01,4.692626595497131348e-01,3.744606673717498779e-01,1.410336140543222427e-02,2.715674340724945068e-01,5.967543721199035645e-01
1.428571492433547974e-01,1.419354826211929321e-01,6.716036051511764526e-02,4.259139895439147949e-01,3.629032373428344727e-01,5.127567797899246216e-03,3.578947484493255615e-01,3.998476862907409668e-01
4.000000059604644775e-01,2.516129016876220703e-01,1.578672528266906738e-01,5.032258033752441406e-01,4.184364676475524902e-01,1.421181205660104752e-02,2.792792916297912598e-01,2.888687551021575928e-01
2.794117629528045654e-01,3.870967626571655273e-01,1.103705093264579773e-01,4.674193561077117920e-01,3.919354975223541260e-01,1.724287867546081543e-02,2.568306028842926025e-01,6.335704922676086426e-01
2.045454531908035278e-01,3.161290287971496582e-01,1.386361271142959595e-01,4.905376434326171875e-01,4.054504930973052979e-01,1.638897322118282318e-02,3.007414340972900391e-01,5.011944174766540527e-01
3.518518507480621338e-01,2.387096732854843140e-01,6.927616894245147705e-02,4.138863384723663330e-01,3.448112905025482178e-01,1.148940995335578918e-02,2.812500000000000000e-01,5.967211723327636719e-01
3.225806355476379395e-01,2.516129016876220703e-01,1.097451671957969666e-01,4.767741858959197998e-01,4.154793024063110352e-01,2.839013561606407166e-02,1.990950256586074829e-01,4.587623775005340576e-01
6.451612710952758789e-02,2.774193584918975830e-01,9.187588840723037720e-02,4.405376315116882324e-01,3.674395084381103516e-01,1.335089281201362610e-02,3.140311837196350098e-01,6.193357706069946289e-01
3.333333432674407959e-01,1.419354826211929321e-01,6.067835539579391479e-02,4.038863182067871094e-01,3.388491272926330566e-01,2.579458290711045265e-03,3.868421018123626709e-01,4.962358772754669189e-01
2.444444447755813599e-01,2.580645084381103516e-01,5.439405143260955811e-02,3.836712837219238281e-01,3.186467289924621582e-01,2.981524448841810226e-03,3.281027078628540039e-01,7.199862599372863770e-01
2.857142984867095947e-01,1.354838758707046509e-01,6.643228232860565186e-02,4.273118376731872559e-01,3.720906376838684082e-01,2.663334133103489876e-03,1.783625781536102295e-01,2.812672555446624756e-01
