TaxonomyLevel,TaxonomyValue,InstitutionId,InstitutionName,DegreeInstitutionId,DegreeInstitutionName,Total,Men,Women
Field,Chemistry,82,Georgia Tech,293,UMass Amherst,2,2,0
Field,Chemistry,82,Georgia Tech,73,Florida State,2,2,0
Field,Chemistry,82,Georgia Tech,347,University of Wisconsin-Madison,5,3,0
Field,Chemistry,82,Georgia Tech,123,MIT,3,2,0
Field,Chemistry,82,Georgia Tech,280,University of Illinois Urbana-Champaign,2,1,1
Field,Chemistry,82,Georgia Tech,252,UC Davis,1,1,0
Field,Chemistry,82,Georgia Tech,346,UW,1,1,0
Field,Chemistry,82,Georgia Tech,31,Caltech,2,2,0
Field,Chemistry,82,Georgia Tech,153,Northwestern,2,1,1
Field,Chemistry,82,Georgia Tech,251,UC Berkeley,3,1,2
Field,Chemistry,102,Johns Hopkins,251,UC Berkeley,4,3,0
Field,Chemistry,82,Georgia Tech,102,Johns Hopkins,2,1,1
Field,Chemistry,82,Georgia Tech,261,University of Chicago,2,2,0
Field,Chemistry,82,Georgia Tech,205,SUNY Stony Brook,1,1,0
Field,Chemistry,82,Georgia Tech,301,University of Minnesota Twin Cities,1,1,0
Field,Chemistry,82,Georgia Tech,329,University of Rochester,1,1,0
Field,Chemistry,82,Georgia Tech,49,Columbia,2,1,1
Field,Chemistry,82,Georgia Tech,316,UNC,1,1,0
Field,Chemistry,82,Georgia Tech,274,University of Georgia,1,1,0
Field,Chemistry,82,Georgia Tech,60,Duke,1,1,0
Field,Chemistry,82,Georgia Tech,28,Brown,1,0,0
Field,Chemistry,82,Georgia Tech,277,University of Houston,1,1,0
Field,Chemistry,82,Georgia Tech,184,Scripps Research (California),1,1,0
Field,Chemistry,82,Georgia Tech,156,Ohio State University,1,0,0
Field,Chemistry,82,Georgia Tech,289,University of Maryland College Park,1,1,0
Field,Chemistry,343,University of Utah,251,UC Berkeley,5,4,0
Field,Chemistry,198,Stanford,251,UC Berkeley,5,3,2
Field,Chemistry,251,UC Berkeley,326,UPenn,1,0,1
