InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
8,American,Field,Chemistry,4,1,153,0.4068689436999064,93
12,Arizona State,Field,Chemistry,19,9,63,0.3636378446962813,114
15,Auburn,Field,Chemistry,4,2,136,0.238340354292471,167
20,Baylor,Field,Chemistry,2,1,174,0.2267776933298408,173
23,Boston College,Field,Chemistry,10,1,104,0.5389126169759393,61
24,Boston University,Field,Chemistry,17,4,73,0.5761779875501751,48
26,Brandeis,Field,Chemistry,19,11,66,0.7007666638789849,21
27,Brigham Young,Field,Chemistry,7,3,109,0.3617870758568518,116
28,Brown,Field,Chemistry,23,10,64,0.6031166255385372,39
29,Bryn Mawr,Field,Chemistry,2,1,183,0.4055912715792006,94
263,CU Boulder,Field,Chemistry,40,14,36,0.5770300011437374,46
31,Caltech,Field,Chemistry,194,42,3,0.9354591783183176,3
34,Carnegie Mellon,Field,Chemistry,31,6,49,0.6390812773942054,31
35,Case Western Reserve,Field,Chemistry,29,9,52,0.6063535269846511,38
42,Clark,Field,Chemistry,2,2,188,0.3454035044149077,122
43,Clarkson,Field,Chemistry,6,3,131,0.3999378382968883,97
44,Clemson,Field,Chemistry,11,3,89,0.364872645173297,113
45,Cleveland State,Field,Chemistry,6,5,128,0.3004349784400611,130
47,Colorado School of Mines,Field,Chemistry,3,1,160,0.225641304088306,174
48,Colorado State,Field,Chemistry,29,5,54,0.6306611733000621,32
49,Columbia,Field,Chemistry,129,32,7,0.90486503906267,5
51,Cornell,Field,Chemistry,127,34,8,0.8199590909826656,8
55,Dartmouth,Field,Chemistry,10,1,101,0.5700222539781029,52
59,Drexel,Field,Chemistry,3,1,156,0.2386640727713962,166
60,Duke,Field,Chemistry,33,11,45,0.6166136941639333,37
61,Duquesne,Field,Chemistry,2,1,181,0.2582308125560792,157
66,Emory,Field,Chemistry,19,1,71,0.5981531727685433,42
73,Florida State,Field,Chemistry,35,9,43,0.5438834871422119,60
74,Fordham,Field,Chemistry,6,3,123,0.2718503624110573,148
79,George Mason,Field,Chemistry,1,1,199,0.1114829502451774,217
80,George Washington,Field,Chemistry,11,7,91,0.4501138716800482,77
81,Georgetown,Field,Chemistry,10,4,103,0.4728191189642097,72
82,Georgia Tech,Field,Chemistry,43,8,33,0.5740755811186321,50
87,Harvard,Field,Chemistry,237,74,1,1.0,0
90,Howard,Field,Chemistry,3,1,159,0.2553788816640222,159
97,IUPUI,Field,Chemistry,1,1,216,0.1821088497756629,196
92,Illinois Tech,Field,Chemistry,9,3,108,0.2630032363863738,152
96,Indiana University Bloomington,Field,Chemistry,61,22,25,0.6240306364343791,33
99,Iowa State,Field,Chemistry,70,19,20,0.6668949184806242,28
100,Jackson State,Field,Chemistry,2,1,168,0.1516730865561675,204
102,Johns Hopkins,Field,Chemistry,59,10,29,0.7425224973276098,14
103,Kansas State,Field,Chemistry,10,2,93,0.4912434638352458,68
109,LSU,Field,Chemistry,14,6,82,0.3765913152262278,108
105,Lehigh,Field,Chemistry,8,3,110,0.4343890773180051,83
114,Loyola University Chicago,Field,Chemistry,4,1,143,0.2821217236636691,141
123,MIT,Field,Chemistry,234,54,2,0.9263795485608434,4
119,Marquette,Field,Chemistry,5,2,139,0.3661722488827473,112
131,Miami University,Field,Chemistry,11,2,92,0.2903807131800128,137
132,Michigan State,Field,Chemistry,58,16,24,0.6181272270726068,36
136,Mississippi State,Field,Chemistry,6,3,117,0.2727963402920098,147
306,Missouri S&T,Field,Chemistry,4,1,150,0.1595745279302597,203
137,Montana State,Field,Chemistry,10,3,100,0.4420281311975537,79
146,NYU,Field,Chemistry,24,6,60,0.56284040702791,55
143,New Mexico State,Field,Chemistry,16,5,80,0.3980010710856992,99
142,New Mexico Tech,Field,Chemistry,2,1,175,0.2152755483072823,183
148,North Carolina State,Field,Chemistry,41,12,35,0.3946037811615823,100
149,North Dakota State,Field,Chemistry,3,1,163,0.2900792332984197,138
150,Northeastern,Field,Chemistry,4,1,132,0.2924407688261747,135
153,Northwestern,Field,Chemistry,110,32,11,0.7709102229700867,13
156,Ohio State University,Field,Chemistry,67,28,21,0.5662209027458601,53
157,Ohio University,Field,Chemistry,6,2,118,0.1632502070679206,201
158,Oklahoma State,Field,Chemistry,8,5,97,0.3847058400988423,103
161,Oregon State,Field,Chemistry,7,3,112,0.4344566930573306,82
163,Penn State,Field,Chemistry,71,23,19,0.6603780697048661,29
167,Princeton,Field,Chemistry,78,19,18,0.8156474500526084,9
168,Purdue,Field,Chemistry,120,38,9,0.6742478109026526,26
171,Rensselaer Polytechnic Institute,Field,Chemistry,6,2,129,0.3764923991740995,109
172,Rice,Field,Chemistry,34,6,44,0.5945689668547768,44
177,Rutgers - New Brunswick,Field,Chemistry,24,12,62,0.432472892184583,84
369,Rutgers - Newark,Field,Chemistry,1,1,212,0.2791674247906266,144
203,SUNY Binghamton,Field,Chemistry,4,2,140,0.3237593206364011,125
206,SUNY College of Environmental Science and Forestry,Field,Chemistry,2,1,179,0.224070824156983,177
205,SUNY Stony Brook,Field,Chemistry,27,6,53,0.5476718369577375,59
178,Saint Louis University,Field,Chemistry,1,1,195,0.1767844148944116,199
184,Scripps Research (California),Field,Chemistry,39,6,37,0.7309088170479247,16
410,Scripps Research (Florida),Field,Chemistry,4,1,142,0.7876213777614871,11
192,Southern Illinois University Carbondale,Field,Chemistry,10,4,96,0.4529886877341232,76
198,Stanford,Field,Chemistry,150,32,5,0.9428742017735688,2
200,Stevens Institute of Technology,Field,Chemistry,4,3,151,0.2311961732532188,171
210,Syracuse,Field,Chemistry,9,3,98,0.4282391107016747,87
212,Temple,Field,Chemistry,2,1,173,0.347966556176868,119
215,Texas A&M,Field,Chemistry,82,18,15,0.6223510127542372,34
222,Texas Tech,Field,Chemistry,17,6,74,0.3877466119706165,101
237,Tufts,Field,Chemistry,9,2,107,0.4816534985031732,70
