TaxonomyLevel,TaxonomyValue,InstitutionId,InstitutionName,DegreeInstitutionId,DegreeInstitutionName,Total,Men,Women
Field,Computer Science,82,Georgia Tech,280,University of Illinois Urbana-Champaign,3,3,0
Field,Computer Science,308,University of Nebraska-Lincoln,198,Stanford,1,0,1
Field,Computer Science,82,Georgia Tech,82,Georgia Tech,3,1,2
Field,Computer Science,82,Georgia Tech,198,Stanford,2,2,0
Field,Computer Science,141,New Jersey Institute of Technology,289,University of Maryland College Park,3,2,0
Field,Computer Science,82,Georgia Tech,51,Cornell,3,2,1
Field,Computer Science,82,Georgia Tech,34,Carnegie Mellon,7,5,1
Field,Computer Science,326,UPenn,198,Stanford,5,5,0
Field,Computer Science,82,Georgia Tech,123,MIT,3,3,0
Field,Computer Science,82,Georgia Tech,253,UC Irvine,1,0,1
Field,Computer Science,82,Georgia Tech,177,Rutgers - New Brunswick,1,1,0
Field,Computer Science,82,Georgia Tech,229,UT Austin,1,0,1
Field,Computer Science,82,Georgia Tech,347,University of Wisconsin-Madison,4,4,0
Field,Computer Science,92,Illinois Tech,123,MIT,1,1,0
Field,Computer Science,300,University of Michigan,123,MIT,8,7,1
Field,Computer Science,82,Georgia Tech,346,UW,2,1,0
Field,Computer Science,251,UC Berkeley,346,UW,1,1,0
Field,Computer Science,82,Georgia Tech,153,Northwestern,1,1,0
Field,Computer Science,82,Georgia Tech,156,Ohio State University,1,0,0
Field,Computer Science,82,Georgia Tech,148,North Carolina State,1,1,0
Field,Computer Science,82,Georgia Tech,251,UC Berkeley,4,3,1
Field,Computer Science,253,UC Irvine,251,UC Berkeley,6,4,1
Field,Computer Science,82,Georgia Tech,358,Washington University St. Louis,1,0,1
Field,Computer Science,82,Georgia Tech,300,University of Michigan,3,3,0
Field,Computer Science,82,Georgia Tech,256,UC San Diego,1,0,1
Field,Computer Science,253,UC Irvine,87,Harvard,1,0,1
Field,Computer Science,273,University of Florida,163,Penn State,2,2,0
Field,Computer Science,82,Georgia Tech,49,Columbia,1,1,0
Field,Computer Science,82,Georgia Tech,327,University of Pittsburgh,1,0,1
Field,Computer Science,346,UW,34,Carnegie Mellon,11,9,1
Field,Computer Science,34,Carnegie Mellon,34,Carnegie Mellon,16,10,5
Field,Computer Science,82,Georgia Tech,368,Yale,1,1,0
Field,Computer Science,82,Georgia Tech,267,UConn,1,1,0
Field,Computer Science,353,Virginia Commonwealth,253,UC Irvine,1,1,0
Field,Computer Science,358,Washington University St. Louis,123,MIT,5,4,0
Field,Computer Science,198,Stanford,346,UW,2,2,0
Field,Computer Science,256,UC San Diego,346,UW,8,8,0
Field,Computer Science,300,University of Michigan,300,University of Michigan,3,3,0
Field,Computer Science,263,CU Boulder,82,Georgia Tech,2,0,0
Field,Computer Science,280,University of Illinois Urbana-Champaign,34,Carnegie Mellon,6,3,0
Field,Computer Science,335,University of Southern California,51,Cornell,2,1,0
