InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
8,American,Field,Computer Science,1,1,200,0.2237914277447243,165
12,Arizona State,Field,Computer Science,44,11,40,0.4674324989332459,65
15,Auburn,Field,Computer Science,18,9,79,0.3627764552680175,105
23,Boston College,Field,Computer Science,1,1,211,0.4839808628885872,59
24,Boston University,Field,Computer Science,14,3,82,0.5805729010198104,41
27,Brigham Young,Field,Computer Science,14,2,93,0.3342654885720653,119
28,Brown,Field,Computer Science,56,13,31,0.7232398749325771,18
263,CU Boulder,Field,Computer Science,43,11,41,0.5532389152974839,47
266,CU Denver,Field,Computer Science,3,1,160,0.2474833852733525,153
31,Caltech,Field,Computer Science,43,10,46,0.8534887670131792,5
34,Carnegie Mellon,Field,Computer Science,242,47,4,0.8753341518316807,3
35,Case Western Reserve,Field,Computer Science,29,12,61,0.4641728059888846,67
44,Clemson,Field,Computer Science,14,3,96,0.2855520418132921,142
47,Colorado School of Mines,Field,Computer Science,2,1,168,0.2002684352835357,174
48,Colorado State,Field,Computer Science,20,7,72,0.3681129802126695,104
49,Columbia,Field,Computer Science,68,13,24,0.7150716090344066,19
51,Cornell,Field,Computer Science,150,32,8,0.8519697930684128,6
55,Dartmouth,Field,Computer Science,9,3,108,0.551048716702029,49
59,Drexel,Field,Computer Science,4,1,156,0.2714652430586102,147
60,Duke,Field,Computer Science,36,11,55,0.6509489050042163,29
66,Emory,Field,Computer Science,3,1,159,0.3273189456440236,124
70,Florida Atlantic,Field,Computer Science,12,2,98,0.2314497209492412,161
71,Florida Institute of Technology,Field,Computer Science,8,3,128,0.1211654063851431,199
73,Florida State,Field,Computer Science,15,2,76,0.4031356052236899,90
79,George Mason,Field,Computer Science,24,7,69,0.4189281156395847,82
80,George Washington,Field,Computer Science,21,8,75,0.4821586121845804,60
81,Georgetown,Field,Computer Science,1,1,212,0.3436643543585693,113
83,Georgia State,Field,Computer Science,9,4,112,0.245046149531724,154
82,Georgia Tech,Field,Computer Science,151,18,5,0.742818550500213,16
87,Harvard,Field,Computer Science,100,27,17,0.8662023350651088,4
