TaxonomyLevel,TaxonomyValue,InstitutionId,InstitutionName,DegreeInstitutionId,DegreeInstitutionName,Total,Men,Women
Field,Mathematics,82,Georgia Tech,243,University of Alabama,1,1,0
Field,Mathematics,82,Georgia Tech,251,UC Berkeley,3,1,2
Field,Mathematics,251,UC Berkeley,251,UC Berkeley,7,7,0
Field,Mathematics,82,Georgia Tech,280,University of Illinois Urbana-Champaign,1,1,0
Field,Mathematics,82,Georgia Tech,326,UPenn,1,0,1
Field,Mathematics,82,Georgia Tech,252,UC Davis,1,0,0
Field,Mathematics,82,Georgia Tech,123,MIT,2,2,0
Field,Mathematics,82,Georgia Tech,198,Stanford,2,2,0
Field,Mathematics,60,Duke,198,Stanford,10,7,1
Field,Mathematics,82,Georgia Tech,31,Caltech,1,0,0
Field,Mathematics,82,Georgia Tech,167,Princeton,1,1,0
Field,Mathematics,82,Georgia Tech,153,Northwestern,1,0,1
Field,Mathematics,82,Georgia Tech,146,NYU,4,3,1
Field,Mathematics,82,Georgia Tech,102,Johns Hopkins,1,1,0
Field,Mathematics,82,Georgia Tech,289,University of Maryland College Park,4,3,0
Field,Mathematics,82,Georgia Tech,261,University of Chicago,3,2,0
Field,Mathematics,82,Georgia Tech,51,Cornell,1,1,0
Field,Mathematics,82,Georgia Tech,258,UC Santa Barbara,1,1,0
Field,Mathematics,82,Georgia Tech,300,University of Michigan,2,1,1
Field,Mathematics,82,Georgia Tech,229,UT Austin,1,1,0
Field,Mathematics,82,Georgia Tech,301,University of Minnesota Twin Cities,1,1,0
Field,Mathematics,82,Georgia Tech,254,UCLA,3,1,0
Field,Mathematics,300,University of Michigan,254,UCLA,1,0,0
Field,Mathematics,82,Georgia Tech,247,University of Arizona,1,1,0
Field,Mathematics,82,Georgia Tech,274,University of Georgia,1,1,0
Field,Mathematics,82,Georgia Tech,351,Vanderbilt,2,2,0
Field,Mathematics,82,Georgia Tech,28,Brown,1,1,0
Field,Mathematics,247,University of Arizona,28,Brown,1,1,0
Field,Mathematics,358,Washington University St. Louis,28,Brown,1,1,0
Field,Mathematics,82,Georgia Tech,335,University of Southern California,1,0,0
Field,Mathematics,82,Georgia Tech,34,Carnegie Mellon,1,1,0
Field,Mathematics,82,Georgia Tech,104,Kent State,1,0,1
Field,Mathematics,82,Georgia Tech,314,University of New Mexico,1,1,0
Field,Mathematics,300,University of Michigan,146,NYU,4,4,0
Field,Mathematics,90,Howard,49,Columbia,2,0,0
Field,Mathematics,87,Harvard,123,MIT,2,1,1
Field,Mathematics,87,Harvard,167,Princeton,5,3,1
Field,Mathematics,251,UC Berkeley,347,University of Wisconsin-Madison,2,0,1
Field,Mathematics,60,Duke,316,UNC,3,2,1
Field,Mathematics,251,UC Berkeley,261,University of Chicago,3,2,0
Field,Mathematics,251,UC Berkeley,123,MIT,6,6,0
Field,Mathematics,251,UC Berkeley,346,UW,1,1,0
Field,Mathematics,31,Caltech,198,Stanford,2,0,1
Field,Mathematics,251,UC Berkeley,31,Caltech,1,1,0
Field,Mathematics,251,UC Berkeley,167,Princeton,6,5,1
Field,Mathematics,251,UC Berkeley,146,NYU,3,3,0
Field,Mathematics,251,UC Berkeley,51,Cornell,1,1,0
Field,Mathematics,251,UC Berkeley,205,SUNY Stony Brook,1,0,1
Field,Mathematics,251,UC Berkeley,300,University of Michigan,2,2,0
Field,Mathematics,251,UC Berkeley,256,UC San Diego,1,1,0
Field,Mathematics,251,UC Berkeley,345,University of Virginia,1,1,0
Field,Mathematics,251,UC Berkeley,87,Harvard,10,9,0
Field,Mathematics,153,Northwestern,301,University of Minnesota Twin Cities,1,0,0
Field,Mathematics,251,UC Berkeley,254,UCLA,1,1,0
Field,Mathematics,251,UC Berkeley,368,Yale,2,2,0
Field,Mathematics,251,UC Berkeley,49,Columbia,3,1,0
Field,Mathematics,123,MIT,198,Stanford,4,3,1
Field,Mathematics,167,Princeton,251,UC Berkeley,3,2,0
Field,Mathematics,254,UCLA,167,Princeton,8,5,1
Field,Mathematics,289,University of Maryland College Park,87,Harvard,2,1,0
Field,Mathematics,335,University of Southern California,198,Stanford,3,2,0
Field,Mathematics,335,University of Southern California,87,Harvard,4,3,1
Field,Mathematics,267,UConn,198,Stanford,1,0,1
Field,Mathematics,267,UConn,253,UC Irvine,2,1,0
Field,Mathematics,300,University of Michigan,167,Princeton,9,7,1
Field,Mathematics,156,Ohio State University,150,Northeastern,1,1,0
Field,Mathematics,325,University of Oregon,198,Stanford,3,2,0
Field,Mathematics,172,Rice,347,University of Wisconsin-Madison,2,1,1
Field,Mathematics,123,MIT,167,Princeton,11,11,0
Field,Mathematics,49,Columbia,167,Princeton,11,7,1
Field,Mathematics,123,MIT,49,Columbia,3,2,0
Field,Mathematics,96,Indiana University Bloomington,146,NYU,3,3,0
Field,Mathematics,96,Indiana University Bloomington,251,UC Berkeley,5,3,1
Field,Mathematics,109,LSU,368,Yale,2,2,0
Field,Mathematics,49,Columbia,123,MIT,3,2,1
Field,Mathematics,167,Princeton,167,Princeton,15,13,0
Field,Mathematics,49,Columbia,49,Columbia,2,2,0
Field,Mathematics,167,Princeton,49,Columbia,3,3,0
Field,Mathematics,369,Rutgers - Newark,123,MIT,1,1,0
Field,Mathematics,49,Columbia,87,Harvard,8,6,0
Field,Mathematics,49,Columbia,280,University of Illinois Urbana-Champaign,1,0,0
Field,Mathematics,49,Columbia,347,University of Wisconsin-Madison,1,1,0
Field,Mathematics,49,Columbia,198,Stanford,5,3,2
Field,Mathematics,347,University of Wisconsin-Madison,167,Princeton,5,4,0
Field,Mathematics,49,Columbia,153,Northwestern,1,0,0
Field,Mathematics,49,Columbia,146,NYU,2,1,1
Field,Mathematics,49,Columbia,251,UC Berkeley,2,2,0
Field,Mathematics,51,Cornell,251,UC Berkeley,8,7,1
Field,Mathematics,49,Columbia,261,University of Chicago,3,2,1
Field,Mathematics,49,Columbia,229,UT Austin,3,2,0
Field,Mathematics,49,Columbia,132,Michigan State,1,1,0
Field,Mathematics,255,UC Riverside,87,Harvard,1,0,0
Field,Mathematics,23,Boston College,87,Harvard,5,3,0
Field,Mathematics,153,Northwestern,87,Harvard,5,4,0
Field,Mathematics,49,Columbia,254,UCLA,1,0,0
Field,Mathematics,49,Columbia,368,Yale,1,1,0
Field,Mathematics,49,Columbia,163,Penn State,1,1,0
Field,Mathematics,49,Columbia,177,Rutgers - New Brunswick,1,0,0
Field,Mathematics,49,Columbia,60,Duke,1,1,0
Field,Mathematics,23,Boston College,28,Brown,2,1,0
Field,Mathematics,323,University of Notre Dame,23,Boston College,1,1,0
Field,Mathematics,211,Teachers College Columbia,261,University of Chicago,1,1,0
Field,Mathematics,102,Johns Hopkins,358,Washington University St. Louis,1,1,0
Field,Mathematics,60,Duke,280,University of Illinois Urbana-Champaign,2,1,0
Field,Mathematics,325,University of Oregon,347,University of Wisconsin-Madison,2,2,0
Field,Mathematics,60,Duke,168,Purdue,1,0,1
Field,Mathematics,60,Duke,347,University of Wisconsin-Madison,5,0,0
Field,Mathematics,60,Duke,123,MIT,4,3,0
Field,Mathematics,60,Duke,346,UW,1,1,0
Field,Mathematics,60,Duke,31,Caltech,2,2,0
Field,Mathematics,60,Duke,167,Princeton,9,7,1
Field,Mathematics,60,Duke,153,Northwestern,1,1,0
Field,Mathematics,60,Duke,73,Florida State,1,0,1
Field,Mathematics,60,Duke,99,Iowa State,1,1,0
Field,Mathematics,60,Duke,156,Ohio State University,2,2,0
Field,Mathematics,60,Duke,146,NYU,2,2,0
Field,Mathematics,60,Duke,251,UC Berkeley,5,4,0
Field,Mathematics,60,Duke,289,University of Maryland College Park,2,0,1
Field,Mathematics,60,Duke,261,University of Chicago,1,1,0
Field,Mathematics,60,Duke,51,Cornell,1,1,0
Field,Mathematics,60,Duke,215,Texas A&M,2,1,0
Field,Mathematics,299,University of Miami,300,University of Michigan,1,1,0
Field,Mathematics,60,Duke,229,UT Austin,4,2,1
Field,Mathematics,60,Duke,132,Michigan State,2,2,0
Field,Mathematics,60,Duke,254,UCLA,3,3,0
Field,Mathematics,293,UMass Amherst,254,UCLA,1,0,0
Field,Mathematics,60,Duke,329,University of Rochester,1,0,0
Field,Mathematics,60,Duke,247,University of Arizona,1,0,0
Field,Mathematics,60,Duke,49,Columbia,3,2,1
Field,Mathematics,60,Duke,302,University of Mississippi,1,0,1
Field,Mathematics,60,Duke,60,Duke,2,2,0
Field,Mathematics,60,Duke,325,University of Oregon,1,1,0
Field,Mathematics,60,Duke,28,Brown,3,2,1
Field,Mathematics,60,Duke,23,Boston College,1,1,0
Field,Mathematics,344,University of Vermont,346,UW,2,1,1
Field,Mathematics,31,Caltech,326,UPenn,2,2,0
Field,Mathematics,96,Indiana University Bloomington,280,University of Illinois Urbana-Champaign,1,1,0
Field,Mathematics,96,Indiana University Bloomington,123,MIT,2,2,0
Field,Mathematics,96,Indiana University Bloomington,346,UW,1,0,0
Field,Mathematics,96,Indiana University Bloomington,198,Stanford,1,1,0
Field,Mathematics,96,Indiana University Bloomington,167,Princeton,3,2,1
Field,Mathematics,96,Indiana University Bloomington,289,University of Maryland College Park,1,1,0
Field,Mathematics,96,Indiana University Bloomington,261,University of Chicago,4,4,0
Field,Mathematics,96,Indiana University Bloomington,205,SUNY Stony Brook,1,1,0
Field,Mathematics,96,Indiana University Bloomington,300,University of Michigan,9,8,0
