InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
2,Air Force Institute of Technology,Field,Mathematics,14,6,91,0.1180147470823121,202
12,Arizona State,Field,Mathematics,38,12,44,0.3227085431961471,119
15,Auburn,Field,Mathematics,15,3,85,0.2712149091065997,140
20,Baylor,Field,Mathematics,8,3,116,0.2954717978449524,128
23,Boston College,Field,Mathematics,4,2,130,0.5101886668015102,59
24,Boston University,Field,Mathematics,24,5,71,0.5432479798528731,50
25,Bowling Green State,Field,Mathematics,6,1,128,0.2628548115383072,146
26,Brandeis,Field,Mathematics,35,10,57,0.789783445732558,11
28,Brown,Field,Mathematics,122,26,14,0.8118857773922662,10
263,CU Boulder,Field,Mathematics,35,9,50,0.5010557132967332,63
266,CU Denver,Field,Mathematics,6,1,129,0.2205126675528563,169
31,Caltech,Field,Mathematics,76,15,26,0.8265891621207265,8
34,Carnegie Mellon,Field,Mathematics,42,11,46,0.6325474617295231,32
35,Case Western Reserve,Field,Mathematics,21,7,77,0.5401061596612473,52
37,Central Michigan,Field,Mathematics,2,1,178,0.1562970756161877,196
43,Clarkson,Field,Mathematics,5,1,135,0.2069689095472317,176
44,Clemson,Field,Mathematics,15,11,88,0.2393462603321513,160
48,Colorado State,Field,Mathematics,36,12,41,0.4864134078501901,68
49,Columbia,Field,Mathematics,119,38,16,0.8269728865592804,7
51,Cornell,Field,Mathematics,165,54,9,0.7557726105580814,15
55,Dartmouth,Field,Mathematics,13,3,84,0.4955355629534395,64
60,Duke,Field,Mathematics,40,11,49,0.5282424033882929,54
66,Emory,Field,Mathematics,26,6,66,0.4699584851747851,72
73,Florida State,Field,Mathematics,40,13,38,0.4910271841778412,65
80,George Washington,Field,Mathematics,10,3,103,0.4756075814170267,71
83,Georgia State,Field,Mathematics,6,3,132,0.2559175336186541,151
82,Georgia Tech,Field,Mathematics,46,11,39,0.5695601294495718,47
87,Harvard,Field,Mathematics,214,56,3,1.0,0
90,Howard,Field,Mathematics,5,2,139,0.2689904221034879,141
93,Illinois State,Field,Mathematics,9,3,112,0.1967524337947604,182
96,Indiana University Bloomington,Field,Mathematics,91,30,24,0.6657400708720929,25
99,Iowa State,Field,Mathematics,29,10,60,0.4452169341691894,89
102,Johns Hopkins,Field,Mathematics,33,7,59,0.7423651431140555,16
103,Kansas State,Field,Mathematics,13,1,94,0.4465915648108259,87
104,Kent State,Field,Mathematics,29,6,63,0.3424111245635146,113
109,LSU,Field,Mathematics,35,15,48,0.5168547662898091,57
105,Lehigh,Field,Mathematics,4,4,147,0.4667509350750752,75
112,Louisiana Tech,Field,Mathematics,1,1,165,0.1644305077733928,192
114,Loyola University Chicago,Field,Mathematics,1,1,191,0.2868271459278095,131
123,MIT,Field,Mathematics,280,73,2,0.9149856680841628,3
119,Marquette,Field,Mathematics,1,1,210,0.1194006102003841,201
132,Michigan State,Field,Mathematics,89,24,23,0.5787228748828638,45
136,Mississippi State,Field,Mathematics,2,1,180,0.0914618867140085,207
306,Missouri S&T,Field,Mathematics,6,3,119,0.2727120346338833,138
137,Montana State,Field,Mathematics,9,3,100,0.2561831964656653,149
146,NYU,Field,Mathematics,169,39,7,0.8244358892068917,9
143,New Mexico State,Field,Mathematics,12,5,95,0.3505918765275411,112
148,North Carolina State,Field,Mathematics,44,12,36,0.4138701219120648,98
150,Northeastern,Field,Mathematics,12,3,99,0.5413092900429284,51
152,Northern Illinois,Field,Mathematics,6,3,126,0.2670236038179457,143
153,Northwestern,Field,Mathematics,68,20,28,0.6612201812334454,26
156,Ohio State University,Field,Mathematics,101,33,19,0.5801778694929681,44
157,Ohio University,Field,Mathematics,4,3,144,0.1822558745118777,189
158,Oklahoma State,Field,Mathematics,18,2,80,0.3754491846578983,104
159,Old Dominion,Field,Mathematics,8,3,113,0.1967009542810989,183
161,Oregon State,Field,Mathematics,13,8,89,0.4321679384706207,95
163,Penn State,Field,Mathematics,92,33,22,0.6459840715922266,27
