TaxonomyLevel,TaxonomyValue,InstitutionId,InstitutionName,DegreeInstitutionId,DegreeInstitutionName,Total,Men,Women
Field,Physics,82,Georgia Tech,251,UC Berkeley,4,3,1
Field,Physics,82,Georgia Tech,300,University of Michigan,1,1,0
Field,Physics,82,Georgia Tech,301,University of Minnesota Twin Cities,1,1,0
Field,Physics,82,Georgia Tech,263,CU Boulder,1,0,0
Field,Physics,82,Georgia Tech,87,Harvard,2,1,0
Field,Physics,82,Georgia Tech,280,University of Illinois Urbana-Champaign,3,3,0
Field,Physics,300,University of Michigan,329,University of Rochester,1,1,0
Field,Physics,82,Georgia Tech,326,UPenn,4,3,1
Field,Physics,82,Georgia Tech,347,University of Wisconsin-Madison,1,1,0
Field,Physics,82,Georgia Tech,123,MIT,1,1,0
Field,Physics,82,Georgia Tech,198,Stanford,4,4,0
Field,Physics,82,Georgia Tech,31,Caltech,1,1,0
Field,Physics,82,Georgia Tech,167,Princeton,2,1,1
Field,Physics,82,Georgia Tech,153,Northwestern,1,1,0
Field,Physics,82,Georgia Tech,102,Johns Hopkins,1,1,0
Field,Physics,82,Georgia Tech,261,University of Chicago,2,0,2
Field,Physics,82,Georgia Tech,51,Cornell,1,1,0
Field,Physics,82,Georgia Tech,229,UT Austin,2,2,0
Field,Physics,229,UT Austin,229,UT Austin,6,4,2
Field,Physics,82,Georgia Tech,163,Penn State,1,0,1
Field,Physics,82,Georgia Tech,150,Northeastern,1,1,0
Field,Physics,82,Georgia Tech,172,Rice,1,1,0
Field,Physics,251,UC Berkeley,51,Cornell,2,2,0
Field,Physics,251,UC Berkeley,251,UC Berkeley,14,13,1
Field,Physics,251,UC Berkeley,198,Stanford,7,6,1
Field,Physics,123,MIT,368,Yale,2,2,0
Field,Physics,251,UC Berkeley,167,Princeton,3,3,0
Field,Physics,102,Johns Hopkins,198,Stanford,3,2,0
Field,Physics,87,Harvard,167,Princeton,4,4,0
Field,Physics,251,UC Berkeley,132,Michigan State,1,0,1
Field,Physics,251,UC Berkeley,87,Harvard,5,5,0
Field,Physics,251,UC Berkeley,123,MIT,6,5,0
Field,Physics,251,UC Berkeley,300,University of Michigan,1,1,0
Field,Physics,251,UC Berkeley,280,University of Illinois Urbana-Champaign,1,1,0
Field,Physics,251,UC Berkeley,347,University of Wisconsin-Madison,3,2,0
Field,Physics,251,UC Berkeley,346,UW,1,0,0
Field,Physics,251,UC Berkeley,31,Caltech,3,2,1
Field,Physics,256,UC San Diego,251,UC Berkeley,5,3,2
Field,Physics,251,UC Berkeley,102,Johns Hopkins,1,0,0
Field,Physics,251,UC Berkeley,261,University of Chicago,1,1,0
Field,Physics,251,UC Berkeley,345,University of Virginia,1,0,0
Field,Physics,251,UC Berkeley,301,University of Minnesota Twin Cities,1,1,0
Field,Physics,251,UC Berkeley,254,UCLA,1,1,0
Field,Physics,251,UC Berkeley,368,Yale,1,1,0
Field,Physics,251,UC Berkeley,49,Columbia,1,0,0
Field,Physics,251,UC Berkeley,28,Brown,1,1,0
Field,Physics,251,UC Berkeley,293,UMass Amherst,1,1,0
Field,Physics,87,Harvard,87,Harvard,13,12,1
Field,Physics,335,University of Southern California,167,Princeton,2,1,1
Field,Physics,49,Columbia,31,Caltech,1,1,0
Field,Physics,49,Columbia,167,Princeton,2,1,0
Field,Physics,49,Columbia,251,UC Berkeley,3,3,0
Field,Physics,49,Columbia,123,MIT,4,3,1
Field,Physics,49,Columbia,156,Ohio State University,1,1,0
Field,Physics,49,Columbia,146,NYU,1,0,1
Field,Physics,49,Columbia,289,University of Maryland College Park,1,1,0
Field,Physics,49,Columbia,261,University of Chicago,1,0,0
Field,Physics,49,Columbia,51,Cornell,1,1,0
Field,Physics,49,Columbia,205,SUNY Stony Brook,1,1,0
Field,Physics,49,Columbia,87,Harvard,4,3,1
Field,Physics,49,Columbia,301,University of Minnesota Twin Cities,2,2,0
Field,Physics,49,Columbia,368,Yale,1,1,0
Field,Physics,49,Columbia,49,Columbia,3,3,0
Field,Physics,156,Ohio State University,329,University of Rochester,1,1,0
Field,Physics,60,Duke,31,Caltech,4,1,3
Field,Physics,60,Duke,168,Purdue,1,1,0
Field,Physics,60,Duke,326,UPenn,1,1,0
Field,Physics,60,Duke,347,University of Wisconsin-Madison,1,1,0
Field,Physics,60,Duke,230,UT Dallas,1,1,0
Field,Physics,60,Duke,123,MIT,2,2,0
Field,Physics,60,Duke,167,Princeton,2,2,0
Field,Physics,60,Duke,102,Johns Hopkins,2,2,0
Field,Physics,60,Duke,289,University of Maryland College Park,1,1,0
Field,Physics,60,Duke,261,University of Chicago,1,1,0
Field,Physics,60,Duke,51,Cornell,1,1,0
Field,Physics,60,Duke,87,Harvard,4,2,1
Field,Physics,92,Illinois Tech,87,Harvard,1,1,0
Field,Physics,60,Duke,49,Columbia,1,1,0
Field,Physics,60,Duke,60,Duke,3,2,0
Field,Physics,96,Indiana University Bloomington,251,UC Berkeley,3,2,1
Field,Physics,96,Indiana University Bloomington,280,University of Illinois Urbana-Champaign,1,1,0
Field,Physics,96,Indiana University Bloomington,326,UPenn,1,1,0
Field,Physics,96,Indiana University Bloomington,347,University of Wisconsin-Madison,2,1,1
Field,Physics,96,Indiana University Bloomington,346,UW,1,1,0
Field,Physics,96,Indiana University Bloomington,198,Stanford,4,4,0
Field,Physics,96,Indiana University Bloomington,31,Caltech,3,2,1
Field,Physics,96,Indiana University Bloomington,167,Princeton,2,1,1
Field,Physics,96,Indiana University Bloomington,153,Northwestern,1,1,0
Field,Physics,96,Indiana University Bloomington,156,Ohio State University,2,2,0
Field,Physics,215,Texas A&M,156,Ohio State University,2,1,1
Field,Physics,96,Indiana University Bloomington,102,Johns Hopkins,1,1,0
Field,Physics,96,Indiana University Bloomington,289,University of Maryland College Park,1,1,0
Field,Physics,96,Indiana University Bloomington,358,Washington University St. Louis,1,1,0
Field,Physics,96,Indiana University Bloomington,261,University of Chicago,3,3,0
Field,Physics,96,Indiana University Bloomington,51,Cornell,1,1,0
Field,Physics,96,Indiana University Bloomington,205,SUNY Stony Brook,2,2,0
Field,Physics,96,Indiana University Bloomington,229,UT Austin,1,1,0
Field,Physics,96,Indiana University Bloomington,96,Indiana University Bloomington,2,2,0
Field,Physics,96,Indiana University Bloomington,172,Rice,1,1,0
Field,Physics,96,Indiana University Bloomington,87,Harvard,3,3,0
Field,Physics,96,Indiana University Bloomington,254,UCLA,1,1,0
Field,Physics,96,Indiana University Bloomington,226,University of Tennessee,1,1,0
Field,Physics,96,Indiana University Bloomington,368,Yale,3,1,1
Field,Physics,96,Indiana University Bloomington,24,Boston University,1,1,0
Field,Physics,96,Indiana University Bloomington,274,University of Georgia,1,1,0
Field,Physics,96,Indiana University Bloomington,293,UMass Amherst,1,0,1
Field,Physics,96,Indiana University Bloomington,259,UC Santa Cruz,1,0,1
Field,Physics,163,Penn State,251,UC Berkeley,5,5,0
Field,Physics,163,Penn State,280,University of Illinois Urbana-Champaign,2,2,0
Field,Physics,163,Penn State,168,Purdue,1,1,0
Field,Physics,163,Penn State,326,UPenn,1,1,0
Field,Physics,163,Penn State,347,University of Wisconsin-Madison,2,2,0
Field,Physics,132,Michigan State,347,University of Wisconsin-Madison,8,4,2
Field,Physics,163,Penn State,346,UW,1,0,1
Field,Physics,163,Penn State,198,Stanford,2,2,0
Field,Physics,222,Texas Tech,31,Caltech,1,1,0
Field,Physics,163,Penn State,167,Princeton,3,3,0
Field,Physics,163,Penn State,102,Johns Hopkins,1,1,0
Field,Physics,163,Penn State,261,University of Chicago,4,4,0
Field,Physics,163,Penn State,51,Cornell,3,2,1
Field,Physics,163,Penn State,205,SUNY Stony Brook,2,0,1
Field,Physics,163,Penn State,263,CU Boulder,2,2,0
Field,Physics,163,Penn State,256,UC San Diego,1,1,0
Field,Physics,163,Penn State,87,Harvard,1,1,0
Field,Physics,163,Penn State,301,University of Minnesota Twin Cities,2,1,0
Field,Physics,163,Penn State,368,Yale,2,2,0
Field,Physics,163,Penn State,163,Penn State,6,4,0
Field,Physics,163,Penn State,323,University of Notre Dame,1,0,1
Field,Physics,163,Penn State,49,Columbia,1,0,1
Field,Physics,51,Cornell,49,Columbia,1,0,0
Field,Physics,163,Penn State,60,Duke,1,1,0
Field,Physics,163,Penn State,28,Brown,1,1,0
Field,Physics,163,Penn State,109,LSU,1,1,0
Field,Physics,163,Penn State,105,Lehigh,1,0,0
Field,Physics,168,Purdue,261,University of Chicago,5,5,0
Field,Physics,327,University of Pittsburgh,49,Columbia,1,1,0
Field,Physics,15,Auburn,368,Yale,1,1,0
Field,Physics,168,Purdue,28,Brown,1,0,0
Field,Physics,168,Purdue,280,University of Illinois Urbana-Champaign,2,2,0
Field,Physics,168,Purdue,326,UPenn,1,1,0
Field,Physics,168,Purdue,347,University of Wisconsin-Madison,2,1,0
Field,Physics,168,Purdue,123,MIT,1,1,0
Field,Physics,168,Purdue,198,Stanford,3,2,0
Field,Physics,168,Purdue,31,Caltech,2,1,0
Field,Physics,168,Purdue,167,Princeton,1,1,0
Field,Physics,168,Purdue,73,Florida State,1,1,0
Field,Physics,168,Purdue,156,Ohio State University,2,0,1
Field,Physics,168,Purdue,146,NYU,1,1,0
Field,Physics,168,Purdue,251,UC Berkeley,3,1,1
Field,Physics,168,Purdue,102,Johns Hopkins,1,0,0
Field,Physics,168,Purdue,358,Washington University St. Louis,1,1,0
Field,Physics,168,Purdue,51,Cornell,2,2,0
Field,Physics,168,Purdue,205,SUNY Stony Brook,1,1,0
Field,Physics,168,Purdue,300,University of Michigan,2,2,0
Field,Physics,168,Purdue,229,UT Austin,2,1,0
Field,Physics,168,Purdue,87,Harvard,3,1,0
Field,Physics,168,Purdue,254,UCLA,1,0,1
Field,Physics,168,Purdue,368,Yale,1,1,0
Field,Physics,168,Purdue,24,Boston University,3,2,1
Field,Physics,168,Purdue,163,Penn State,1,1,0
Field,Physics,168,Purdue,247,University of Arizona,1,1,0
Field,Physics,168,Purdue,49,Columbia,4,4,0
Field,Physics,168,Purdue,60,Duke,1,0,0
Field,Physics,168,Purdue,55,Dartmouth,1,1,0
Field,Physics,168,Purdue,35,Case Western Reserve,1,1,0
Field,Physics,168,Purdue,210,Syracuse,2,1,1
Field,Physics,300,University of Michigan,261,University of Chicago,4,4,0
Field,Physics,300,University of Michigan,280,University of Illinois Urbana-Champaign,3,3,0
Field,Physics,300,University of Michigan,123,MIT,3,3,0
Field,Physics,300,University of Michigan,346,UW,1,1,0
Field,Physics,31,Caltech,346,UW,1,0,1
Field,Physics,300,University of Michigan,198,Stanford,3,2,0
Field,Physics,300,University of Michigan,167,Princeton,4,4,0
Field,Physics,300,University of Michigan,251,UC Berkeley,5,5,0
Field,Physics,300,University of Michigan,289,University of Maryland College Park,1,1,0
Field,Physics,229,UT Austin,261,University of Chicago,1,0,1
Field,Physics,300,University of Michigan,51,Cornell,2,1,0
Field,Physics,300,University of Michigan,205,SUNY Stony Brook,3,3,0
Field,Physics,300,University of Michigan,258,UC Santa Barbara,2,0,2
Field,Physics,300,University of Michigan,300,University of Michigan,5,5,0
Field,Physics,300,University of Michigan,87,Harvard,1,1,0
Field,Physics,300,University of Michigan,301,University of Minnesota Twin Cities,2,2,0
Field,Physics,300,University of Michigan,368,Yale,3,3,0
Field,Physics,300,University of Michigan,49,Columbia,2,0,1
Field,Physics,289,University of Maryland College Park,256,UC San Diego,2,2,0
Field,Physics,247,University of Arizona,31,Caltech,4,2,0
Field,Physics,247,University of Arizona,167,Princeton,4,4,0
Field,Physics,247,University of Arizona,168,Purdue,2,0,1
Field,Physics,247,University of Arizona,247,University of Arizona,27,20,0
Field,Physics,247,University of Arizona,123,MIT,5,4,1
Field,Physics,247,University of Arizona,198,Stanford,5,5,0
Field,Physics,247,University of Arizona,229,UT Austin,2,1,0
Field,Physics,247,University of Arizona,51,Cornell,4,4,0
Field,Physics,247,University of Arizona,346,UW,1,1,0
Field,Physics,247,University of Arizona,153,Northwestern,1,1,0
Field,Physics,247,University of Arizona,99,Iowa State,1,0,0
Field,Physics,247,University of Arizona,146,NYU,2,1,1
Field,Physics,247,University of Arizona,251,UC Berkeley,1,1,0
Field,Physics,247,University of Arizona,237,Tufts,1,1,0
Field,Physics,247,University of Arizona,261,University of Chicago,1,1,0
Field,Physics,247,University of Arizona,258,UC Santa Barbara,1,1,0
Field,Physics,247,University of Arizona,300,University of Michigan,1,1,0
Field,Physics,247,University of Arizona,172,Rice,1,1,0
Field,Physics,247,University of Arizona,87,Harvard,1,1,0
Field,Physics,247,University of Arizona,301,University of Minnesota Twin Cities,1,0,1
Field,Physics,247,University of Arizona,253,UC Irvine,1,1,0
Field,Physics,247,University of Arizona,311,"University of Nevada, Las Vegas",1,1,0
Field,Physics,247,University of Arizona,270,University of Delaware,1,1,0
Field,Physics,247,University of Arizona,259,UC Santa Cruz,1,1,0
Field,Physics,247,University of Arizona,96,Indiana University Bloomington,1,1,0
Field,Physics,247,University of Arizona,343,University of Utah,1,0,0
Field,Physics,247,University of Arizona,326,UPenn,2,1,0
Field,Physics,247,University of Arizona,215,Texas A&M,1,1,0
Field,Physics,247,University of Arizona,345,University of Virginia,1,0,0
Field,Physics,247,University of Arizona,192,Southern Illinois University Carbondale,1,1,0
Field,Physics,247,University of Arizona,368,Yale,1,0,0
Field,Physics,247,University of Arizona,210,Syracuse,1,1,0
Field,Physics,247,University of Arizona,329,University of Rochester,2,2,0
Field,Physics,247,University of Arizona,325,University of Oregon,1,1,0
Field,Physics,247,University of Arizona,351,Vanderbilt,1,1,0
Field,Physics,247,University of Arizona,314,University of New Mexico,1,1,0
Field,Physics,215,Texas A&M,346,UW,2,2,0
Field,Physics,273,University of Florida,31,Caltech,2,1,1
Field,Physics,358,Washington University St. Louis,168,Purdue,1,1,0
Field,Physics,358,Washington University St. Louis,347,University of Wisconsin-Madison,1,1,0
Field,Physics,358,Washington University St. Louis,123,MIT,2,2,0
Field,Physics,358,Washington University St. Louis,31,Caltech,3,2,0
Field,Physics,358,Washington University St. Louis,167,Princeton,1,1,0
Field,Physics,358,Washington University St. Louis,99,Iowa State,1,0,0
Field,Physics,358,Washington University St. Louis,251,UC Berkeley,3,2,0
Field,Physics,358,Washington University St. Louis,289,University of Maryland College Park,1,0,0
Field,Physics,358,Washington University St. Louis,358,Washington University St. Louis,8,7,1
Field,Physics,358,Washington University St. Louis,261,University of Chicago,1,1,0
Field,Physics,358,Washington University St. Louis,51,Cornell,1,1,0
Field,Physics,358,Washington University St. Louis,87,Harvard,6,6,0
Field,Physics,358,Washington University St. Louis,35,Case Western Reserve,2,1,1
Field,Physics,358,Washington University St. Louis,254,UCLA,1,1,0
Field,Physics,358,Washington University St. Louis,48,Colorado State,1,0,0
Field,Physics,358,Washington University St. Louis,49,Columbia,1,1,0
Field,Physics,358,Washington University St. Louis,82,Georgia Tech,1,1,0
Field,Physics,358,Washington University St. Louis,28,Brown,1,1,0
Field,Physics,358,Washington University St. Louis,159,Old Dominion,2,0,2
Field,Physics,146,NYU,167,Princeton,7,6,1
Field,Physics,146,NYU,51,Cornell,1,1,0
Field,Physics,146,NYU,49,Columbia,2,2,0
Field,Physics,146,NYU,326,UPenn,1,1,0
Field,Physics,270,University of Delaware,326,UPenn,2,1,1
Field,Physics,146,NYU,347,University of Wisconsin-Madison,1,1,0
Field,Physics,146,NYU,123,MIT,1,0,0
Field,Physics,146,NYU,346,UW,1,1,0
Field,Physics,146,NYU,198,Stanford,3,3,0
Field,Physics,146,NYU,31,Caltech,3,2,0
Field,Physics,146,NYU,156,Ohio State University,1,1,0
Field,Physics,146,NYU,251,UC Berkeley,3,3,0
Field,Physics,146,NYU,289,University of Maryland College Park,2,1,0
Field,Physics,146,NYU,261,University of Chicago,1,1,0
Field,Physics,146,NYU,258,UC Santa Barbara,1,0,1
Field,Physics,146,NYU,300,University of Michigan,1,1,0
Field,Physics,146,NYU,256,UC San Diego,1,1,0
Field,Physics,146,NYU,96,Indiana University Bloomington,1,0,1
Field,Physics,146,NYU,87,Harvard,4,3,1
Field,Physics,146,NYU,368,Yale,1,0,0
Field,Physics,146,NYU,177,Rutgers - New Brunswick,1,1,0
Field,Physics,146,NYU,105,Lehigh,1,1,0
Field,Physics,146,NYU,259,UC Santa Cruz,2,2,0
Field,Physics,254,UCLA,31,Caltech,7,4,3
Field,Physics,254,UCLA,335,University of Southern California,1,1,0
Field,Physics,254,UCLA,280,University of Illinois Urbana-Champaign,1,1,0
Field,Physics,254,UCLA,347,University of Wisconsin-Madison,3,3,0
Field,Physics,254,UCLA,123,MIT,3,3,0
Field,Physics,254,UCLA,198,Stanford,2,2,0
Field,Physics,254,UCLA,167,Princeton,4,4,0
Field,Physics,254,UCLA,153,Northwestern,1,1,0
Field,Physics,254,UCLA,99,Iowa State,2,1,1
Field,Physics,254,UCLA,251,UC Berkeley,7,6,1
Field,Physics,123,MIT,251,UC Berkeley,9,7,1
Field,Physics,254,UCLA,261,University of Chicago,4,4,0
Field,Physics,254,UCLA,205,SUNY Stony Brook,2,2,0
Field,Physics,254,UCLA,263,CU Boulder,1,1,0
Field,Physics,254,UCLA,256,UC San Diego,3,2,0
Field,Physics,254,UCLA,87,Harvard,6,5,1
Field,Physics,254,UCLA,301,University of Minnesota Twin Cities,1,1,0
Field,Physics,254,UCLA,35,Case Western Reserve,1,1,0
Field,Physics,254,UCLA,254,UCLA,4,4,0
Field,Physics,254,UCLA,368,Yale,1,1,0
Field,Physics,254,UCLA,49,Columbia,1,1,0
Field,Physics,254,UCLA,200,Stevens Institute of Technology,1,1,0
Field,Physics,83,Georgia State,343,University of Utah,1,1,0
Field,Physics,83,Georgia State,156,Ohio State University,2,1,1
Field,Physics,83,Georgia State,251,UC Berkeley,1,1,0
Field,Physics,83,Georgia State,289,University of Maryland College Park,2,1,1
Field,Physics,83,Georgia State,51,Cornell,1,1,0
Field,Physics,83,Georgia State,205,SUNY Stony Brook,1,0,1
Field,Physics,83,Georgia State,263,CU Boulder,1,0,1
Field,Physics,274,University of Georgia,281,University of Iowa,2,1,0
Field,Physics,83,Georgia State,345,University of Virginia,1,1,0
Field,Physics,83,Georgia State,229,UT Austin,1,0,1
Field,Physics,83,Georgia State,273,University of Florida,1,0,0
Field,Physics,83,Georgia State,254,UCLA,1,1,0
Field,Physics,245,University of Alabama in Huntsville,254,UCLA,1,1,0
Field,Physics,83,Georgia State,226,University of Tennessee,1,0,0
Field,Physics,83,Georgia State,247,University of Arizona,1,1,0
Field,Physics,83,Georgia State,49,Columbia,1,1,0
Field,Physics,83,Georgia State,327,University of Pittsburgh,1,0,0
Field,Physics,83,Georgia State,282,University of Kansas,1,0,0
Field,Physics,83,Georgia State,277,University of Houston,1,1,0
Field,Physics,83,Georgia State,312,"University of Nevada, Reno",1,1,0
Field,Physics,205,SUNY Stony Brook,261,University of Chicago,4,3,0
Field,Physics,256,UC San Diego,229,UT Austin,1,1,0
Field,Physics,150,Northeastern,87,Harvard,3,3,0
Field,Physics,229,UT Austin,251,UC Berkeley,2,2,0
Field,Physics,229,UT Austin,168,Purdue,1,1,0
Field,Physics,229,UT Austin,326,UPenn,1,1,0
Field,Physics,229,UT Austin,347,University of Wisconsin-Madison,1,1,0
Field,Physics,229,UT Austin,252,UC Davis,1,1,0
Field,Physics,229,UT Austin,123,MIT,4,4,0
Field,Physics,229,UT Austin,346,UW,2,2,0
Field,Physics,229,UT Austin,198,Stanford,3,2,0
Field,Physics,229,UT Austin,31,Caltech,2,1,0
Field,Physics,229,UT Austin,167,Princeton,3,3,0
Field,Physics,229,UT Austin,153,Northwestern,1,1,0
Field,Physics,229,UT Austin,102,Johns Hopkins,1,1,0
Field,Physics,229,UT Austin,289,University of Maryland College Park,4,3,0
Field,Physics,229,UT Austin,51,Cornell,2,2,0
Field,Physics,229,UT Austin,258,UC Santa Barbara,1,1,0
Field,Physics,229,UT Austin,300,University of Michigan,2,1,1
Field,Physics,229,UT Austin,256,UC San Diego,1,1,0
Field,Physics,229,UT Austin,96,Indiana University Bloomington,1,1,0
Field,Physics,229,UT Austin,87,Harvard,5,4,1
Field,Physics,229,UT Austin,254,UCLA,2,2,0
Field,Physics,229,UT Austin,329,University of Rochester,3,3,0
Field,Physics,229,UT Austin,274,University of Georgia,1,1,0
Field,Physics,229,UT Austin,12,Arizona State,1,1,0
Field,Physics,229,UT Austin,271,University of Denver,1,0,1
Field,Physics,270,University of Delaware,259,UC Santa Cruz,1,0,1
Field,Physics,280,University of Illinois Urbana-Champaign,251,UC Berkeley,9,8,0
Field,Physics,280,University of Illinois Urbana-Champaign,254,UCLA,3,2,1
Field,Physics,280,University of Illinois Urbana-Champaign,123,MIT,6,4,1
Field,Physics,280,University of Illinois Urbana-Champaign,280,University of Illinois Urbana-Champaign,3,2,0
Field,Physics,280,University of Illinois Urbana-Champaign,326,UPenn,1,1,0
Field,Physics,280,University of Illinois Urbana-Champaign,347,University of Wisconsin-Madison,1,1,0
Field,Physics,280,University of Illinois Urbana-Champaign,198,Stanford,5,4,1
Field,Physics,280,University of Illinois Urbana-Champaign,167,Princeton,2,2,0
Field,Physics,280,University of Illinois Urbana-Champaign,156,Ohio State University,2,2,0
Field,Physics,280,University of Illinois Urbana-Champaign,148,North Carolina State,1,1,0
Field,Physics,280,University of Illinois Urbana-Champaign,289,University of Maryland College Park,2,1,1
