InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
3,Alabama A&M,Field,Physics,8,3,95,0.1819570671307366,200
8,American,Field,Physics,6,2,126,0.3698108127784741,134
12,Arizona State,Field,Physics,20,4,50,0.4939264422958823,73
15,Auburn,Field,Physics,7,1,103,0.3209650571016612,149
20,Baylor,Field,Physics,5,1,127,0.3836615332783546,123
23,Boston College,Field,Physics,6,1,117,0.5042708447523423,66
24,Boston University,Field,Physics,29,2,42,0.6193357634470549,36
26,Brandeis,Field,Physics,13,4,78,0.5994311621185016,41
27,Brigham Young,Field,Physics,8,3,90,0.3599658118904721,135
28,Brown,Field,Physics,45,13,33,0.7333797613172591,20
263,CU Boulder,Field,Physics,82,19,18,0.6856459745356344,27
31,Caltech,Field,Physics,159,32,8,0.913720692148931,4
34,Carnegie Mellon,Field,Physics,22,5,52,0.5997105435730372,40
35,Case Western Reserve,Field,Physics,16,5,59,0.6345723683745789,32
36,Catholic University of America,Field,Physics,9,6,93,0.4568813367408578,86
42,Clark,Field,Physics,9,5,92,0.6028267559856897,38
43,Clarkson,Field,Physics,7,2,110,0.4115596199071762,111
44,Clemson,Field,Physics,8,6,97,0.329220765182318,147
47,Colorado School of Mines,Field,Physics,1,1,144,0.2980594419942633,158
48,Colorado State,Field,Physics,7,2,111,0.4650814621140782,82
49,Columbia,Field,Physics,108,37,13,0.8893160214527301,8
51,Cornell,Field,Physics,220,57,5,0.89939108055661,6
55,Dartmouth,Field,Physics,6,1,124,0.5183650638603041,60
59,Drexel,Field,Physics,4,1,137,0.4499418371705151,88
60,Duke,Field,Physics,32,13,39,0.6769807796874249,28
69,Florida A&M,Field,Physics,1,1,187,0.2354553946018294,184
70,Florida Atlantic,Field,Physics,1,1,157,0.3592754078231429,136
73,Florida State,Field,Physics,29,14,41,0.4943297412347175,71
74,Fordham,Field,Physics,2,1,153,0.2485533239835162,180
79,George Mason,Field,Physics,7,2,108,0.2818130910733368,166
80,George Washington,Field,Physics,3,2,146,0.3337170576683708,144
81,Georgetown,Field,Physics,2,1,154,0.3955671201704876,117
83,Georgia State,Field,Physics,6,1,114,0.3328498939575985,145
82,Georgia Tech,Field,Physics,18,7,60,0.5395645183354569,54
86,Hampton,Field,Physics,5,2,130,0.1940650972693063,197
87,Harvard,Field,Physics,295,76,1,1.0,0
90,Howard,Field,Physics,3,1,149,0.2158397031457612,191
92,Illinois Tech,Field,Physics,9,6,83,0.2888687524805141,162
96,Indiana University Bloomington,Field,Physics,49,19,30,0.6335704940257434,33
99,Iowa State,Field,Physics,27,7,44,0.559272148908264,50
102,Johns Hopkins,Field,Physics,53,13,27,0.7491310185616985,16
103,Kansas State,Field,Physics,13,2,64,0.4399128556574964,96
104,Kent State,Field,Physics,11,1,81,0.3830520784119791,124
109,LSU,Field,Physics,14,3,71,0.3846860024704459,122
105,Lehigh,Field,Physics,7,4,112,0.4387655568980333,97
123,MIT,Field,Physics,281,82,2,0.9000207242099852,5
132,Michigan State,Field,Physics,40,8,34,0.516335712012944,61
133,Michigan Technological,Field,Physics,1,1,156,0.2344948951387202,185
136,Mississippi State,Field,Physics,3,3,150,0.2298167889250222,187
306,Missouri S&T,Field,Physics,4,2,136,0.2846248418469307,164
