Namespace(conv_layers=3, device=0, dropout=0.0, epochs=100, hidden_dim=256, log_steps=1, lr=0.001, method='gin', mlp_layers=2, runs=10, subset='mathematics')
Run: 01, Epoch: 01, Loss: 0.0466, lr: 0.001000, Train: -4.6718, Valid: -5.9251, Test: -5.5519
Run: 01, Epoch: 02, Loss: 0.0143, lr: 0.001000, Train: -6.2646, Valid: -7.8279, Test: -7.0072
Run: 01, Epoch: 03, Loss: 0.0107, lr: 0.001000, Train: -6.3905, Valid: -7.9421, Test: -7.0767
Run: 01, Epoch: 04, Loss: 0.0059, lr: 0.001000, Train: -6.2966, Valid: -7.8809, Test: -7.0114
Run: 01, Epoch: 05, Loss: 0.0041, lr: 0.001000, Train: -5.7830, Valid: -7.3897, Test: -6.5451
Run: 01, Epoch: 06, Loss: 0.0047, lr: 0.001000, Train: -5.4230, Valid: -7.0016, Test: -6.2344
Run: 01, Epoch: 07, Loss: 0.0022, lr: 0.001000, Train: -5.3567, Valid: -6.9193, Test: -6.2382
Run: 01, Epoch: 08, Loss: 0.0019, lr: 0.000700, Train: -4.9480, Valid: -6.4370, Test: -5.8834
Run: 01, Epoch: 09, Loss: 0.0019, lr: 0.000700, Train: -4.3671, Valid: -5.7309, Test: -5.3140
Run: 01, Epoch: 10, Loss: 0.0015, lr: 0.000700, Train: -3.5769, Valid: -4.7342, Test: -4.4666
Run: 01, Epoch: 11, Loss: 0.0012, lr: 0.000700, Train: -2.6459, Valid: -3.5595, Test: -3.4161
Run: 01, Epoch: 12, Loss: 0.0014, lr: 0.000700, Train: -1.8027, Valid: -2.4880, Test: -2.4383
Run: 01, Epoch: 13, Loss: 0.0015, lr: 0.000700, Train: -1.1563, Valid: -1.6654, Test: -1.6781
Run: 01, Epoch: 14, Loss: 0.0012, lr: 0.000700, Train: -0.6666, Valid: -1.0303, Test: -1.0986
Run: 01, Epoch: 15, Loss: 0.0009, lr: 0.000700, Train: -0.2839, Valid: -0.5214, Test: -0.6447
Run: 01, Epoch: 16, Loss: 0.0010, lr: 0.000700, Train: 0.0223, Valid: -0.1228, Test: -0.2613
Run: 01, Epoch: 17, Loss: 0.0010, lr: 0.000700, Train: 0.2598, Valid: 0.1710, Test: 0.0459
Run: 01, Epoch: 18, Loss: 0.0010, lr: 0.000700, Train: 0.4315, Valid: 0.3772, Test: 0.2758
Run: 01, Epoch: 19, Loss: 0.0008, lr: 0.000700, Train: 0.5510, Valid: 0.5152, Test: 0.4344
Run: 01, Epoch: 20, Loss: 0.0007, lr: 0.000700, Train: 0.6326, Valid: 0.6038, Test: 0.5375
Run: 01, Epoch: 21, Loss: 0.0007, lr: 0.000700, Train: 0.6973, Valid: 0.6785, Test: 0.6165
Run: 01, Epoch: 22, Loss: 0.0007, lr: 0.000700, Train: 0.7632, Valid: 0.7590, Test: 0.6939
Run: 01, Epoch: 23, Loss: 0.0006, lr: 0.000700, Train: 0.8288, Valid: 0.8352, Test: 0.7699
Run: 01, Epoch: 24, Loss: 0.0005, lr: 0.000700, Train: 0.8825, Valid: 0.8957, Test: 0.8357
Run: 01, Epoch: 25, Loss: 0.0005, lr: 0.000700, Train: 0.9189, Valid: 0.9335, Test: 0.8818
Run: 01, Epoch: 26, Loss: 0.0005, lr: 0.000700, Train: 0.9409, Valid: 0.9517, Test: 0.9101
Run: 01, Epoch: 27, Loss: 0.0005, lr: 0.000700, Train: 0.9523, Valid: 0.9568, Test: 0.9231
Run: 01, Epoch: 28, Loss: 0.0005, lr: 0.000700, Train: 0.9564, Valid: 0.9548, Test: 0.9268
Run: 01, Epoch: 29, Loss: 0.0004, lr: 0.000700, Train: 0.9559, Valid: 0.9499, Test: 0.9264
Run: 01, Epoch: 30, Loss: 0.0004, lr: 0.000700, Train: 0.9559, Valid: 0.9475, Test: 0.9283
Run: 01, Epoch: 31, Loss: 0.0004, lr: 0.000700, Train: 0.9603, Valid: 0.9513, Test: 0.9345
Run: 01, Epoch: 32, Loss: 0.0004, lr: 0.000700, Train: 0.9676, Valid: 0.9592, Test: 0.9426
Run: 01, Epoch: 33, Loss: 0.0003, lr: 0.000700, Train: 0.9737, Valid: 0.9663, Test: 0.9487
Run: 01, Epoch: 34, Loss: 0.0003, lr: 0.000700, Train: 0.9771, Valid: 0.9704, Test: 0.9524
Run: 01, Epoch: 35, Loss: 0.0003, lr: 0.000700, Train: 0.9799, Valid: 0.9730, Test: 0.9554
Run: 01, Epoch: 36, Loss: 0.0003, lr: 0.000700, Train: 0.9829, Valid: 0.9749, Test: 0.9587
Run: 01, Epoch: 37, Loss: 0.0003, lr: 0.000700, Train: 0.9859, Valid: 0.9763, Test: 0.9624
Run: 01, Epoch: 38, Loss: 0.0002, lr: 0.000700, Train: 0.9878, Valid: 0.9767, Test: 0.9655
Run: 01, Epoch: 39, Loss: 0.0002, lr: 0.000700, Train: 0.9888, Valid: 0.9769, Test: 0.9674
Run: 01, Epoch: 40, Loss: 0.0002, lr: 0.000700, Train: 0.9896, Valid: 0.9768, Test: 0.9682
Run: 01, Epoch: 41, Loss: 0.0002, lr: 0.000700, Train: 0.9907, Valid: 0.9769, Test: 0.9682
Run: 01, Epoch: 42, Loss: 0.0002, lr: 0.000700, Train: 0.9916, Valid: 0.9769, Test: 0.9680
Run: 01, Epoch: 43, Loss: 0.0002, lr: 0.000700, Train: 0.9923, Valid: 0.9765, Test: 0.9677
Run: 01, Epoch: 44, Loss: 0.0002, lr: 0.000700, Train: 0.9931, Valid: 0.9763, Test: 0.9676
Run: 01, Epoch: 45, Loss: 0.0002, lr: 0.000700, Train: 0.9939, Valid: 0.9774, Test: 0.9680
Run: 01, Epoch: 46, Loss: 0.0002, lr: 0.000700, Train: 0.9945, Valid: 0.9792, Test: 0.9686
Run: 01, Epoch: 47, Loss: 0.0002, lr: 0.000700, Train: 0.9945, Valid: 0.9805, Test: 0.9690
Run: 01, Epoch: 48, Loss: 0.0002, lr: 0.000700, Train: 0.9946, Valid: 0.9809, Test: 0.9690
Run: 01, Epoch: 49, Loss: 0.0001, lr: 0.000700, Train: 0.9949, Valid: 0.9803, Test: 0.9687
Run: 01, Epoch: 50, Loss: 0.0001, lr: 0.000700, Train: 0.9951, Valid: 0.9791, Test: 0.9679
Run: 01, Epoch: 51, Loss: 0.0001, lr: 0.000700, Train: 0.9951, Valid: 0.9784, Test: 0.9673
Run: 01, Epoch: 52, Loss: 0.0001, lr: 0.000700, Train: 0.9952, Valid: 0.9782, Test: 0.9672
Run: 01, Epoch: 53, Loss: 0.0001, lr: 0.000700, Train: 0.9953, Valid: 0.9776, Test: 0.9676
Run: 01, Epoch: 54, Loss: 0.0001, lr: 0.000700, Train: 0.9953, Valid: 0.9765, Test: 0.9681
Run: 01, Epoch: 55, Loss: 0.0001, lr: 0.000490, Train: 0.9955, Valid: 0.9759, Test: 0.9685
Run: 01, Epoch: 56, Loss: 0.0001, lr: 0.000490, Train: 0.9957, Valid: 0.9758, Test: 0.9689
Run: 01, Epoch: 57, Loss: 0.0001, lr: 0.000490, Train: 0.9959, Valid: 0.9756, Test: 0.9691
Run: 01, Epoch: 58, Loss: 0.0001, lr: 0.000490, Train: 0.9960, Valid: 0.9751, Test: 0.9689
Run: 01, Epoch: 59, Loss: 0.0001, lr: 0.000490, Train: 0.9960, Valid: 0.9742, Test: 0.9685
Run: 01, Epoch: 60, Loss: 0.0001, lr: 0.000490, Train: 0.9960, Valid: 0.9734, Test: 0.9680
Run: 01, Epoch: 61, Loss: 0.0001, lr: 0.000343, Train: 0.9961, Valid: 0.9734, Test: 0.9680
Run: 01, Epoch: 62, Loss: 0.0001, lr: 0.000343, Train: 0.9964, Valid: 0.9738, Test: 0.9683
Run: 01, Epoch: 63, Loss: 0.0001, lr: 0.000343, Train: 0.9967, Valid: 0.9744, Test: 0.9688
Run: 01, Epoch: 64, Loss: 0.0001, lr: 0.000343, Train: 0.9969, Valid: 0.9748, Test: 0.9692
Run: 01, Epoch: 65, Loss: 0.0001, lr: 0.000343, Train: 0.9971, Valid: 0.9751, Test: 0.9695
Run: 01, Epoch: 66, Loss: 0.0001, lr: 0.000343, Train: 0.9972, Valid: 0.9752, Test: 0.9696
Run: 01, Epoch: 67, Loss: 0.0001, lr: 0.000240, Train: 0.9974, Valid: 0.9753, Test: 0.9696
Run: 01, Epoch: 68, Loss: 0.0001, lr: 0.000240, Train: 0.9975, Valid: 0.9755, Test: 0.9696
Run: 01, Epoch: 69, Loss: 0.0001, lr: 0.000240, Train: 0.9975, Valid: 0.9757, Test: 0.9696
Run: 01, Epoch: 70, Loss: 0.0001, lr: 0.000240, Train: 0.9976, Valid: 0.9759, Test: 0.9695
Run: 01, Epoch: 71, Loss: 0.0001, lr: 0.000240, Train: 0.9976, Valid: 0.9760, Test: 0.9695
Run: 01, Epoch: 72, Loss: 0.0001, lr: 0.000240, Train: 0.9977, Valid: 0.9760, Test: 0.9694
Run: 01, Epoch: 73, Loss: 0.0001, lr: 0.000168, Train: 0.9977, Valid: 0.9761, Test: 0.9694
Run: 01, Epoch: 74, Loss: 0.0001, lr: 0.000168, Train: 0.9977, Valid: 0.9761, Test: 0.9694
Run: 01, Epoch: 75, Loss: 0.0001, lr: 0.000168, Train: 0.9977, Valid: 0.9761, Test: 0.9695
Run: 01, Epoch: 76, Loss: 0.0001, lr: 0.000168, Train: 0.9978, Valid: 0.9762, Test: 0.9695
Run: 01, Epoch: 77, Loss: 0.0001, lr: 0.000168, Train: 0.9978, Valid: 0.9763, Test: 0.9696
